Time_ms,Steps_H,Commanded_H_mm,Real_H_mm,Steps_V,Commanded_V_mm,Real_V_mm,LVDT_Output_mm
530,51,0.083130,-0.701852,51,0.091799,-1.393045,-999.000000
592,101,0.164629,-0.628450,101,0.181799,-1.245469,-999.000000
658,151,0.246129,-0.555047,151,0.271798,-1.097893,-999.000000
723,201,0.327628,-0.481645,201,0.361797,-0.950318,-999.000000
789,251,0.409128,-0.408242,251,0.451796,-0.802742,1.741892
851,301,0.490628,-0.334839,301,0.541796,-0.655166,1.891879
914,351,0.572127,-0.261437,351,0.631795,-0.507591,2.038369
976,401,0.653627,-0.188034,401,0.721794,-0.360015,2.186439
1039,451,0.735126,-0.114631,451,0.811793,-0.212439,2.327413
1102,501,0.816626,-0.041229,501,0.901793,-0.064864,2.434251
1159,529,0.862266,-0.000123,551,0.991792,0.082712,2.571779
1211,529,0.862266,-0.000123,601,1.081791,0.230288,2.712779
1273,529,0.862266,-0.000123,651,1.171791,0.377863,2.868697
